Date,Open,High,Low,Close,Adj Close,Volume
2019-02-26,4456.0,4680.0,4456.0,4623.0,3949.6943359375,6036107
2019-02-27,4500.0,4690.0,4500.0,4610.0,3938.587158203125,3083461
2019-02-28,4551.0,4594.0,4530.0,4580.0,3912.956787109375,4162311
2019-03-01,4572.0,4745.0,4567.0,4614.0,3942.005126953125,3172593
2019-03-04,4630.0,4732.0,4550.0,4608.0,3936.87841796875,3996837
2019-03-05,4602.0,4640.0,4551.0,4625.0,3951.402587890625,2176522
2019-03-06,4591.0,4711.0,4577.0,4661.0,3982.159423828125,2937655
2019-03-07,4735.0,4773.0,4607.0,4607.0,3936.024169921875,4752485
2019-03-08,4550.0,4770.0,4537.0,4730.0,4041.110595703125,2212065
2019-03-11,4788.0,4899.0,4702.0,4721.0,4033.42041015625,2969016
2019-03-12,4740.0,4786.0,4610.0,4639.0,3963.36376953125,3388317
2019-03-13,4583.0,4630.0,4433.0,4540.0,3957.26220703125,3870475
2019-03-14,4492.0,4601.0,4471.0,4493.0,3916.294921875,2721346
2019-03-15,4456.0,4643.0,4456.0,4519.0,3938.95751953125,6631912
2019-03-18,4519.0,4631.0,4510.0,4581.0,3993.0,2014671
2019-03-19,4590.0,4677.0,4507.0,4548.0,3964.2353515625,2854005
2019-03-20,4501.0,4566.0,4402.0,4417.0,3850.0498046875,5616276
2019-03-22,4549.0,4564.0,4408.0,4441.0,3870.969482421875,2140436
2019-03-25,4402.0,4413.0,4330.0,4400.0,3835.23193359375,1754302
2019-03-26,4380.0,4447.0,4350.0,4383.0,3820.41357421875,1537521
2019-03-27,4350.0,4494.0,4350.0,4429.0,3860.509765625,2046230
2019-03-28,4401.0,4488.0,4393.0,4424.0,3856.151123046875,3213425
2019-03-29,4401.0,4654.0,4401.0,4648.0,4051.39990234375,4859660
2019-04-01,4672.0,4757.0,4608.0,4693.0,4090.623779296875,3042300
2019-04-02,4700.0,4748.0,4547.0,4583.0,3994.74267578125,2998624
2019-04-03,4593.0,4716.0,4569.0,4655.0,4057.501708984375,2365187
2019-04-04,4628.0,4668.0,4556.0,4628.0,4033.966552734375,2253593
2019-04-05,4600.0,4665.0,4600.0,4640.0,4044.427001953125,2005709
2019-04-08,4671.0,4671.0,4540.0,4560.0,3974.694580078125,1781902
2019-04-09,4605.0,4661.0,4586.0,4619.0,4026.12158203125,1354436
2019-04-10,4658.0,4790.0,4626.0,4780.0,4166.45703125,1707811
2019-04-11,4769.0,4781.0,4659.0,4753.0,4142.92236328125,1039933
2019-04-12,4767.0,4767.0,4659.0,4723.0,4116.77294921875,1211556
2019-04-15,4700.0,4755.0,4612.0,4716.0,4110.6708984375,1998253
2019-04-16,4773.0,4785.0,4660.0,4730.0,4122.87451171875,2672583
2019-04-17,4740.0,4759.0,4647.0,4683.0,4081.906982421875,1607323
2019-04-18,4695.0,4763.0,4651.0,4763.0,4151.638671875,1887692
2019-04-23,4765.0,4793.0,4675.0,4770.0,4157.7392578125,1228649
2019-04-24,4796.0,4796.0,4647.0,4701.0,4097.5966796875,2749587
2019-04-25,4698.0,4780.0,4656.0,4734.0,4126.361328125,2086416
2019-04-26,4789.0,4823.0,4696.0,4779.0,4165.5849609375,1456924
2019-04-29,4780.0,4821.0,4726.0,4795.0,4179.53125,1419995
2019-04-30,4795.0,4835.0,4745.0,4771.0,4158.61083984375,3318127
2019-05-02,4799.0,4942.0,4772.0,4840.0,4218.75537109375,2182926
2019-05-03,4855.0,4944.0,4833.0,4944.0,4309.40625,1878694
2019-05-06,4872.0,4969.0,4855.0,4969.0,4331.197265625,1961373
2019-05-07,4953.0,4955.0,4835.0,4842.0,4220.49853515625,3151151
2019-05-09,4844.0,4844.0,4680.0,4680.0,4079.292236328125,3062730
2019-05-10,4719.0,4928.0,4719.0,4803.0,4186.5048828125,3492996
2019-05-13,4815.0,4998.0,4801.0,4891.0,4263.208984375,5749697
2019-05-14,4898.0,4904.0,4770.0,4789.0,4174.30126953125,4251068
2019-05-15,4789.0,4869.0,4623.0,4730.0,4122.87451171875,3314842
2019-05-16,4750.0,4770.0,4648.0,4704.0,4100.2119140625,3825681
2019-05-17,4657.0,4700.0,4598.0,4609.0,4017.4052734375,2742445
2019-05-20,4613.0,4658.0,4593.0,4609.0,4017.4052734375,1813853
2019-05-21,4632.0,4666.0,4483.0,4483.0,3907.57763671875,3305586
2019-05-22,4524.0,4584.0,4510.0,4545.0,3961.620361328125,1799761
2019-05-23,4515.0,4568.0,4434.0,4465.0,3891.888671875,2742160
2019-05-24,4465.0,4570.0,4436.0,4467.0,3893.6318359375,1903191
2019-05-27,4456.0,4527.0,4432.0,4432.0,3863.124755859375,1373970
2019-05-28,4450.0,4508.0,4390.0,4414.0,3847.43505859375,6461176
2019-05-29,4411.0,4501.0,4348.0,4456.0,3884.044189453125,2640132
2019-05-30,4530.0,4628.0,4455.0,4502.0,3924.1396484375,3181071
2019-05-31,4504.0,4575.0,4469.0,4575.0,3987.76953125,3129809
2019-06-03,4580.0,4639.0,4566.0,4620.0,4026.99365234375,1622459
2019-06-04,4610.0,4610.0,4469.0,4566.0,3979.92529296875,3025241
2019-06-05,4551.0,4628.0,4543.0,4556.0,3971.20849609375,2154586
2019-06-06,4550.0,4601.0,4483.0,4507.0,3928.498291015625,2506346
2019-06-07,4505.0,4649.0,4502.0,4620.0,4026.99365234375,2277438
2019-06-10,4630.0,4853.0,4630.0,4840.0,4218.75537109375,3796388
2019-06-11,4776.0,4951.0,4776.0,4935.0,4301.5615234375,4509397
2019-06-12,4923.0,4967.0,4858.0,4944.0,4309.40625,3380343
2019-06-13,4900.0,4935.0,4848.0,4880.0,4253.62060546875,3594065
2019-06-14,4900.0,4900.0,4781.0,4834.0,4213.52587890625,3010127
2019-06-18,4868.0,4943.0,4845.0,4928.0,4295.46044921875,3263407
2019-06-19,4965.0,4976.0,4913.0,4920.0,4288.48681640625,4103387
2019-06-20,4922.0,4991.0,4889.0,4908.0,4278.02734375,10443855
2019-06-21,4882.0,4940.0,4860.0,4920.0,4288.48681640625,7793857
2019-06-24,4920.0,4964.0,4783.0,4823.0,4203.93701171875,1808926
2019-06-25,4808.0,4870.0,4750.0,4808.0,4190.8623046875,5239418
2019-06-26,4800.0,4859.0,4771.0,4824.0,4204.80859375,8990163
2019-06-27,4850.0,4930.0,4849.0,4874.0,4248.3916015625,4913481
2019-06-28,4878.0,4950.0,4842.0,4888.0,4260.59375,2423897
2019-07-01,4929.0,4957.0,4817.0,4837.0,4216.140625,3625415
2019-07-02,4835.0,4840.0,4614.0,4651.0,4054.014404296875,4524388
2019-07-03,4680.0,4681.0,4601.0,4610.0,4018.27734375,2984970
2019-07-04,4645.0,4689.0,4598.0,4640.0,4044.427001953125,3328928
2019-07-05,4667.0,4715.0,4611.0,4686.0,4084.5224609375,2219885
2019-07-08,4679.0,4929.0,4678.0,4897.0,4268.43896484375,5559291
2019-07-09,4901.0,4934.0,4821.0,4881.0,4254.49267578125,5220459
